province,city_name,一九九七,一九九八,一九九九,二零零零,二零零一,二零零二,二零零三,二零零四,二零零五,二零零六,二零零七,二零零八,二零零九,二零一零,二零一一,二零一二,二零一三,总计
黑龙江,七台河,16.52,16.35,16.28,12.75,14.39,15.8,17.64,22.81,23.75,27.75,32.55,46.25,46.19,60.58,63.82,67.61,54.78,555.82
黑龙江,齐齐哈尔,147.64,137.32,142.8,140.72,141.9,160.97,142.17,190.56,220.32,227.67,268.06,323.42,328.21,415.97,501.15,557.83,582.68,4629.39
黑龙江,双鸭山,38,45.33,43.81,20.44,27.32,26.91,27.9,62.83,86.22,101.65,122.27,156.27,182.44,225.59,323.14,386.5,283.82,2160.44
黑龙江,绥化,231.95,247.42,243.86,233.46,249.93,237.48,251.15,293.51,305.3,360.09,434.42,514.69,582.21,748.32,956.86,1178.93,1327.61,8397.19
黑龙江,伊春,18.58,20.78,21.29,23.07,25.91,28.37,32.1,37.92,36.01,40.69,50.24,54.74,57.33,67.85,81.69,91.68,100.36,788.61
黑龙江,汇总,1096.83,1221.27,1252.83,1185.71,1290.76,1324.22,1430.02,1788.87,1891.9,2139.48,2608.7,3024.54,3485.39,4343.99,5460.83,6245.37,6949.94,46740.65
湖北,黄冈,315.92,345.55,304.02,288.72,310.93,330.63,355.6,394.45,307.11,344.4,414.99,545.65,636.74,766.07,934.05,1088.68,1209.27,8892.78
湖北,黄石,70.33,81.73,83.91,102.46,113.33,124.2,137.33,158.87,163.33,184.92,221.81,266.2,267.75,361.79,460.54,561.21,624.94,3984.65
湖北,荆门,157.62,169.02,146.85,140.97,154.58,162.73,182.7,210.5,177.99,208.96,258.87,345.01,388.33,465.8,614.89,716.35,798.99,5300.16
湖北,荆州,264.45,278.86,253.48,224.53,243.77,265.65,278.36,305.36,264.1,292.76,349.37,421.59,467.82,544.62,678.62,788.04,890.88,6812.26
湖北,施恩,101.4,111.06,111.15,120.97,125.25,129.25,140.51,165.12,172,187.47,207.7,244.79,293.93,350.58,417.79,482.2,547.43,3908.6
湖北,十堰,120.96,137.19,86.41,86.69,90.2,96.21,99.05,109.24,117.22,133.61,155.57,195.88,223.78,276.02,338.93,399.17,462.52,3128.65
湖北,随州,36.88,41.68,34.38,35.16,37.94,41.53,45.3,54.77,54.96,71.69,86.15,105,117,130.76,166.76,189.22,210.98,1460.16
湖北,咸宁,95.23,106.99,95.68,103.12,113.24,121.96,136.75,156.17,158.28,180.37,210.25,281.31,309.36,390.19,516.81,629.9,723.41,4329.02
湖北,襄樊,432.74,367.66,306.52,319.93,342.81,294.42,341.38,360.59,323.6,362.13,431.25,384.8,676.93,908.83,1294.94,1606.55,1845.6,10600.68
湖北,孝感,248.68,281.23,224.09,242.36,265.18,288.77,324.91,352.31,288.04,324.64,385.75,468.85,525.58,648.06,807.12,915.48,1061.79,7652.84
湖北,宜昌,262.14,294.07,263.01,285.96,302.18,323.18,328.72,394.37,376.39,399.12,478.46,503.41,755.5,946.37,1349.16,1683.64,1959.32,10905
